n,k,buckets
2,1,1
3,2,3
3,1,2
4,3,4
4,2,7
4,1,2
5,4,6
5,3,11
5,2,9
5,1,3
6,5,7
6,4,18
6,3,15
6,2,10
6,1,3
7,6,9
7,5,22
7,4,30
7,3,24
7,2,12
7,1,3
8,7,10
8,6,29
8,5,38
8,4,43
8,3,30
8,2,12
8,1,3
9,8,12
9,7,33
9,6,55
9,5,67
9,4,68
9,3,36
9,2,12
9,1,3
10,9,13
10,8,40
10,7,63
10,6,96
10,5,108
10,4,80
10,3,39
10,2,12
10,1,3
11,10,15
11,9,44
11,8,80
11,7,122
11,6,176
11,5,161
11,4,107
11,3,40
11,2,12
11,1,3
12,11,16
12,10,51
12,9,88
12,8,153
12,7,230
12,6,257
12,5,220
12,4,114
12,3,40
12,2,12
12,1,3
13,12,18
13,11,55
13,10,105
13,9,179
13,8,312
13,7,386
13,6,417
13,5,289
13,4,125
13,3,40
13,2,12
13,1,3
14,13,19
14,12,62
14,11,113
14,10,210
14,9,368
14,8,530
14,7,634
14,6,559
14,5,336
14,4,125
14,3,40
14,2,12
14,1,3
15,14,21
15,13,66
15,12,130
15,11,236
15,10,452
15,9,677
15,8,953
15,7,1001
15,6,789
15,5,376
15,4,125
15,3,40
15,2,12
15,1,3
16,15,22
16,14,73
16,13,138
16,12,267
16,11,508
16,10,839
16,9,1246
16,8,1507
16,7,1440
16,6,949
16,5,391
16,4,125
16,3,40
16,2,12
16,1,3
17,16,24
17,15,77
17,14,155
17,13,293
17,12,592
17,11,988
17,10,1641
17,9,2173
17,8,2464
17,7,2090
17,6,1125
17,5,392
17,4,125
17,3,40
17,2,12
17,1,3
18,17,25
18,16,84
18,15,163
18,14,324
18,13,648
18,12,1152
18,11,1956
18,10,2901
18,9,3593
18,8,3647
18,7,2636
18,6,1207
18,5,392
18,4,125
18,3,40
18,2,12
18,1,3
19,18,27
19,17,88
19,16,180
19,15,350
19,14,732
19,13,1301
19,12,2373
19,11,3681
19,10,5143
19,9,5981
19,8,5429
19,7,3327
19,6,1254
19,5,392
19,4,125
19,3,40
19,2,12
19,1,3
20,19,28
20,18,95
20,17,188
20,16,381
20,15,788
20,14,1465
20,13,2690
20,12,4523
20,11,6656
20,10,8610
20,9,9056
20,8,7279
20,7,3690
20,6,1254
20,5,392
20,4,125
20,3,40
20,2,12
20,1,3
21,20,30
21,19,99
21,18,205
21,17,407
21,16,872
21,15,1614
21,14,3109
21,13,5329
21,12,8588
21,11,11974
21,10,14374
21,9,14089
21,8,9518
21,7,4023
21,6,1254
21,5,392
21,4,125
21,3,40
21,2,12
21,1,3
22,21,31
22,20,106
22,19,213
22,18,438
22,17,928
22,16,1778
22,15,3426
22,14,6197
22,13,10261
22,12,15617
22,11,20195
22,10,22679
22,9,19410
22,8,11262
22,7,4086
22,6,1254
22,5,392
22,4,125
22,3,40
22,2,12
22,1,3
23,22,33
23,21,110
23,20,230
23,19,464
23,18,1012
23,17,1927
23,16,3845
23,15,7005
23,14,12353
23,13,19613
23,12,27851
23,11,34776
23,10,35619
23,9,27035
23,8,12699
23,7,4087
23,6,1254
23,5,392
23,4,125
23,3,40
23,2,12
23,1,3
24,23,34
24,22,117
24,21,238
24,20,495
24,19,1068
24,18,2091
24,17,4162
24,16,7875
24,15,14056
24,14,23886
24,13,35546
24,12,48228
24,11,55361
24,10,51780
24,9,33109
24,8,13432
24,7,4087
24,6,1254
24,5,392
24,4,125
24,3,40
24,2,12
24,1,3
25,24,36
25,23,121
25,22,255
25,21,521
25,20,1152
25,19,2240
25,18,4581
25,17,8683
25,16,16178
25,15,28096
25,14,45056
25,13,65039
25,12,82793
25,11,90239
25,10,74138
25,9,39904
25,8,13623
25,7,4087
25,6,1254
25,5,392
25,4,125
25,3,40
25,2,12
25,1,3
26,25,37
26,24,128
26,23,263
26,22,552
26,21,1208
26,20,2404
26,19,4898
26,18,9553
26,17,17883
26,16,32583
26,15,53729
26,14,83119
26,13,112605
26,12,136324
26,11,134146
26,10,96401
26,9,43344
26,8,13623
26,7,4087
26,6,1254
26,5,392
26,4,125
26,3,40
26,2,12
26,1,3
27,26,39
27,25,132
27,24,280
27,23,578
27,22,1292
27,21,2553
27,20,5317
27,19,10361
27,18,20007
27,17,36827
27,16,64215
27,15,103210
27,14,150571
27,13,198326
27,12,224238
27,11,200991
27,10,121280
27,9,45925
27,8,13623
27,7,4087
27,6,1254
27,5,392
27,4,125
27,3,40
27,2,12
27,1,3
28,27,40
28,26,139
28,25,288
28,24,609
28,23,1348
28,22,2717
28,21,5634
28,20,11231
28,19,21712
28,18,41348
28,17,73164
28,16,124546
28,15,189339
28,14,266489
28,13,329564
28,12,346088
28,11,271474
28,10,139089
28,9,46180
28,8,13623
28,7,4087
28,6,1254
28,5,392
28,4,125
28,3,40
28,2,12
28,1,3
29,28,42
29,27,143
29,26,305
29,25,635
29,24,1432
29,23,2866
29,22,6053
29,21,12039
29,20,23836
29,19,45594
29,18,83926
29,17,146073
29,16,236133
29,15,350057
29,14,469849
29,13,555810
29,12,532050
29,11,360894
29,10,152627
29,9,46181
29,8,13623
29,7,4087
29,6,1254
29,5,392
29,4,125
29,3,40
29,2,12
29,1,3
30,29,43
30,28,150
30,27,313
30,26,666
30,25,1488
30,24,3030
30,23,6370
30,22,12909
30,21,25541
30,20,50117
30,19,92913
30,18,168843
30,17,280349
30,16,439394
30,15,621359
30,14,798513
30,13,876756
30,12,751023
30,11,432710
30,10,158370
30,9,46181
30,8,13623
30,7,4087
30,6,1254
30,5,392
30,4,125
30,3,40
30,2,12
30,1,3
31,30,45
31,29,154
31,28,330
31,27,692
31,26,1572
31,25,3179
31,24,6789
31,23,13717
31,22,27665
31,21,54363
31,20,103713
31,19,190716
31,18,332563
31,17,539352
31,16,809394
31,15,1113810
31,14,1362571
31,13,1388349
31,12,1042754
31,11,500370
31,10,159137
31,9,46181
31,8,13623
31,7,4087
31,6,1254
31,5,392
31,4,125
31,3,40
31,2,12
31,1,3
32,31,46
32,30,161
32,29,338
32,28,723
32,27,1628
32,26,3343
32,25,7106
32,24,14587
32,23,29370
32,22,58886
32,21,112702
32,20,213832
32,19,378801
32,18,644901
32,17,1003146
32,16,1457001
32,15,1915119
32,14,2202762
32,13,2030967
32,12,1312481
32,11,535497
32,10,159137
32,9,46181
32,8,13623
32,7,4087
32,6,1254
32,5,392
32,4,125
32,3,40
32,2,12
32,1,3
33,32,48
33,31,165
33,30,355
33,29,749
33,28,1712
33,27,3492
33,26,7525
33,25,15395
33,24,31494
33,23,63132
33,22,123504
33,21,235747
33,20,433035
33,19,753455
33,18,1232751
33,17,1871038
33,16,2626659
33,15,3319434
33,14,3570650
33,13,2933353
33,12,1598645
33,11,554445
33,10,159137
33,9,46181
33,8,13623
33,7,4087
33,6,1254
33,5,392
33,4,125
33,3,40
33,2,12
33,1,3
34,33,49
34,32,172
34,31,363
34,30,780
34,29,1768
34,28,3656
34,27,7842
34,26,16265
34,25,33199
34,24,67655
34,23,132493
34,22,258905
34,21,479697
34,20,867568
34,19,1455199
34,18,2311329
34,17,3390891
34,16,4580341
34,15,5477009
34,14,5387332
34,13,3871817
34,12,1783151
34,11,555468
34,10,159137
34,9,46181
34,8,13623
34,7,4087
34,6,1254
34,5,392
34,4,125
34,3,40
34,2,12
34,1,3
35,34,51
35,33,176
35,32,380
35,31,806
35,30,1852
35,29,3805
35,28,8261
35,27,17073
35,26,35323
35,25,71901
35,24,143295
35,23,280822
35,22,534355
35,21,978874
35,20,1713264
35,19,2805336
35,18,4319575
35,17,6173318
35,16,8040691
35,15,9052952
35,14,8074634
35,13,4947978
35,12,1916024
35,11,555469
35,10,159137
35,9,46181
35,8,13623
35,7,4087
35,6,1254
35,5,392
35,4,125
35,3,40
35,2,12
35,1,3
36,35,52
36,34,183
36,33,388
36,32,837
36,31,1908
36,30,3969
36,29,8578
36,28,17943
36,27,37028
36,26,76424
36,25,152284
36,24,303982
36,23,581063
36,22,1095737
36,21,1948698
36,20,3324541
36,19,5281405
36,18,7892629
36,17,10900076
36,16,13487427
36,15,14076760
36,14,11088900
36,13,5797537
36,12,1958298
36,11,555469
36,10,159137
36,9,46181
36,8,13623
36,7,4087
36,6,1254
36,5,392
36,4,125
36,3,40
36,2,12
36,1,3
37,36,54
37,35,187
37,34,405
37,33,863
37,32,1992
37,31,4118
37,30,8997
37,29,18751
37,28,39152
37,27,80670
37,26,163086
37,25,325899
37,24,635767
37,23,1207553
37,22,2219713
37,21,3866456
37,20,6404525
37,19,9938076
37,18,14483567
37,17,19330045
